GroupID|EntryID|SF|SFUI|NormSF|NSFUI|PrefSF|LF|LFUI|NormLF|PrefLF|Source|SFEUI|LFEUI|Type|Score|Count|Frequency|UMLS.CUI
|E000992|AST|S006006|ast|N008363||astigmatism|L046961|astigmatism||UMLS|E0000496|E0010899|abbreviation||||
|E001081|AI|S004411|ai|N004530||artificial insemination|L046623|artificial insemination||UMLS|E0000592|E0010605|acronym||||
|E001473|BSA|S009858|bsa|N011503||bovine serum albumin|L051595|bovine serum albumin||UMLS|E0000689|E0013853|abbreviation||||
|E002821|CP|S014816|cp|N016678||ceruloplasmin|L056001|ceruloplasmin||UMLS|E0001327|E0016076|abbreviation||||
|E002822|CP|S014816|cp|N016678||caeruloplasmin|L052819|ceruloplasmin||UMLS|E0001327|E0016076|abbreviation||||
|E003364|CY|S015899|cy|N017987||ciclosporin|L057781|ciclosporin||UMLS|E0001728|E0020354|abbreviation||||
|E003365|CY|S015899|cy|N017987||cyclosporin|L063679|ciclosporin||UMLS|E0001728|E0020354|abbreviation||||
|E003366|CY|S015899|cy|N017987||cyclosporine|L063686|ciclosporin||UMLS|E0001728|E0020354|abbreviation||||
|E003367|CY|S015899|cy|N017987||cycloheximide|L063497|cycloheximide||UMLS|E0001728|E0020325|abbreviation||||
|E003368|CY|S015899|cy|N017987||cycle|L063244|cycle||UMLS|E0001728|E0020281|abbreviation||||
|E003369|CY|S015899|cy|N017987||cyproheptadine|L063711|cyproheptadine||UMLS|E0001728|E0020408|abbreviation||||
|E003370|CY|S015899|cy|N017987||Cytoxan|L010953|Cytoxan||UMLS|E0001728|E0001756|abbreviation||||
|E003371|CY|S015899|cy|N017987||cytology|L064196|cytology||UMLS|E0001728|E0020606|abbreviation||||
|E003372|CY|S015899|cy|N017987||cyclocreatine|L063473|cyclocreatine||UMLS|E0001728|E0403015|abbreviation||||
|E003373|CY|S015899|cy|N017987||cytosol|L064353|cytosol||UMLS|E0001728|E0020664|abbreviation||||
|E003403|CAP|S012226|cap|N013592||College of American Pathologists|L009975|||UMLS|E0001771|E0001574|acronym||||
|E003494|DAG|S018151|dag|N018735||diacylglycerol|L066430|diacylglycerol||UMLS|E0001823|E0022270|abbreviation||||
|E003495|DAG|S018151|dag|N018735||diacyl glycerol|L066423|diacylglycerol||UMLS|E0001823|E0022270|abbreviation||||
