GroupID|RecordID|SF|SFUI|LF|LFUI|Source|LFEUI|Good
G107721|R315309|DMF|S019322|dose modification factor|L069398|ADAM||1
G107721|R315310|DMF|S019322|dose modification factors|L069399|ADAM||1
G107721|R016172|DMF|S019322|dose modification factor|L069398|UMLS|E0564212|1
G107721|R016173|DMF|S019322|dose-modification factor|L069426|UMLS|E0564212|1
G107742|R315376|DMPC|S019376|dimyristoyl-L-alpha-phosphatidylcholine|L067973|ADAM||1
G107742|R315377|DMPC|S019376|dimyristoyl phosphatidyl choline|L067965|ADAM||1
G107742|R315378|DMPC|S019376|dimyristoyl phosphatidylcholine|L067967|ADAM||1
G107742|R315379|DMPC|S019376|dimyristoyl-phosphatidylcholine|L067974|ADAM||1
G107742|R315380|DMPC|S019376|dimyristoylphosphatidylcholine|L067980|ADAM||1
G107742|R315381|DMPC|S019376|L-alpha-dimyristoylphosphatidylcholine|L019641|ADAM||1
G107742|R211010|DMPC|S019376|dimyristoylphosphatidylcholine|L067980|UMLS|E0426046|1
G107742|R211011|DMPC|S019376|dimyristoyl phosphatidylcholine|L067967|UMLS|E0426046|1
G107742|R211012|DMPC|S019376|dimyristoyl-phosphatidylcholine|L067974|UMLS|E0426046|1
G107760|R315442|DMS|S019406|dimethyl suberimidate|L067817|ADAM||1
G107760|R315447|DMS|S019406|dimethylsuberimidate|L067938|ADAM||1
G107760|R059171|DMS|S019406|dimethylsuberimidate|L067938|UMLS|E0301292|1
G107760|R059172|DMS|S019406|dimethyl suberimidate|L067817|UMLS|E0301292|1
G107760|R059173|DMS|S019406|dimethyl-suberimidate|L067851|UMLS|E0301292|1
G107797|R315534|DNIC|S019528|dinitrosyl iron complexes|L068027|ADAM||1
G107797|R315535|DNIC|S019528|dinitrosyl iron complex|L068026|ADAM||1
G107797|R094159|DNIC|S019528|dinitrosyl iron complex|L068026|UMLS|E0629536|1
G107797|R094160|DNIC|S019528|dinitrosyl-iron complex|L068028|UMLS|E0629536|1
G107811|R316911|DNMT1|S019546|DNA methyltransferase 1|L011136|ADAM||1
G107811|R147076|DNMT1|S019546|DNA methyltransferase 1|L011136|UMLS|E0679106|1
G107811|R147077|DNMT1|S019546|DNA methyltransferase-1|L011142|UMLS|E0679106|1
G107867|R379480|DOTS|S019687|directly observed treatment short-course|L068417|ADAM||1
G107867|R379481|DOTS|S019687|directly observed treatment short course|L068416|ADAM||1
G107867|R274055|DOTS|S019687|directly observed treatment short course|L068416|UMLS|E0756545|1
G107867|R274056|DOTS|S019687|directly observed treatment short-course|L068417|UMLS|E0756545|1
G107867|R274057|DOTS|S019687|directly observed treatment-short course|L068421|UMLS|E0756545|1
G107867|R274058|DOTS|S019687|directly observed treatment, short course|L068419|UMLS|E0756545|1
G107867|R274059|DOTS|S019687|directly observed treatment, short-course|L068420|UMLS|E0756545|1
G107867|R274060|DOTS|S019687|directly observed treatment - short course|L068414|UMLS|E0756545|1
G107867|R274061|DOTS|S019687|directly observed treatment - short-course|L068415|UMLS|E0756545|1
G107990|R379524|DRD|S019867|Dopa-responsive dystonia|L012037|ADAM||1
G107990|R211471|DRD|S019867|dopa responsive dystonia|L069120|UMLS|E0716390|1
G107990|R211472|DRD|S019867|dopa-responsive dystonia|L069122|UMLS|E0716390|1
G107990|R211473|DRD|S019867|dopamine responsive dystonia|L069181|UMLS|E0716388|1
G107990|R211474|DRD|S019867|dopamine-responsive dystonia|L069216|UMLS|E0716388|1
G108000|R316098|DRD4|S019876|dopamine D4 receptor|L069155|ADAM||1
G108000|R316100|DRD4|S019876|dopamine receptor D4|L069173|ADAM||1
G108000|R211495|DRD4|S019876|dopamine D4 receptor|L069155|UMLS|E0716392|1
G108000|R211496|DRD4|S019876|dopamine-D4 receptor|L069207|UMLS|E0716392|1
G108107|R316372|DSR|S020023|Daily Symptom Report|L011273|ADAM||1
G108107|R042440|DSR|S020023|Daily Symptom Report|L011273|UMLS|E0436914|1
G108107|R042441|DSR|S020023|daily symptom report|L064567|UMLS|E0436914|1
G108108|R316374|DSR|S020023|dissimilatory sulfite reductase|L068649|ADAM||1
G108108|R042446|DSR|S020023|dissimilatory sulfite reductase|L068649|UMLS|E0436919|1
G108108|R042447|DSR|S020023|dissimilatory sulphite reductase|L068651|UMLS|E0436919|1
G108146|R379317|DTC|S020074|dithiocarbamate|L068880|ADAM||1
G108146|R158994|DTC|S020074|dithiocarbamate|L068880|UMLS|E0331421|1
G108146|R158995|DTC|S020074|dithio carbamate|L068870|UMLS|E0331421|1
G108146|R158996|DTC|S020074|dithio-carbamate|L068872|UMLS|E0331421|1
G108147|R379315|DTC|S020074|Direct-to-consumer|L011912|ADAM||1
G108147|R159021|DTC|S020074|direct to consumer|L068372|UMLS|E0692681|1
G108147|R159022|DTC|S020074|direct-to-consumer|L068389|UMLS|E0692681|1
G108166|R316460|DTICH|S020092|delayed traumatic intracerebral hematoma|L065325|ADAM||1
G108166|R212340|DTICH|S020092|delayed traumatic intracerebral hematoma|L065325|UMLS|E0716751|1
G108166|R212341|DTICH|S020092|delayed traumatic intracerebral haematoma|L065323|UMLS|E0716751|1
G108166|R212342|DTICH|S020092|delayed traumatic intracerebral hæmatoma|L065327|UMLS|E0716751|1
G108168|R316464|DTMRI|S020097|diffusion tensor magnetic resonance imaging|L067332|ADAM||1
G108168|R156436|DTMRI|S020097|diffusion tensor magnetic resonance imaging|L067332|UMLS|E0691073|1
G108168|R156437|DTMRI|S020097|diffusion-tensor magnetic resonance imaging|L067346|UMLS|E0691073|1
G108215|R316643|DWI|S020187|diffusion-weighted images|L067353|ADAM||1
G108215|R153714|DWI|S020187|diffusion weighted image|L067335|UMLS|E0740539|1
G108215|R153715|DWI|S020187|diffusion-weighted image|L067352|UMLS|E0740539|1
G108219|R316653|DWMRI|S020191|diffusion-weighted magnetic resonance imaging|L067356|ADAM||1
G108219|R274036|DWMRI|S020191|diffusion weighted magnetic resonance imaging|L067338|UMLS|E0756514|1
G108219|R274037|DWMRI|S020191|diffusion-weighted magnetic resonance imaging|L067356|UMLS|E0756514|1
G108327|R296948|ACE|S003502|Addenbrooke's Cognitive Examination|L003840|ADAM||1
G108327|R000208|ACE|S003502|Addenbrooke's Cognitive Examination|L003840|UMLS|E0695735|1
G108327|R000209|ACE|S003502|Addenbrooke's cognitive examination|L003841|UMLS|E0695735|1
G108512|R379776|EAR|S021322|Extracellular acidification rate|L013765|ADAM||1
G108512|R267771|EAR|S021322|extracellular acidification rate|L075643|UMLS|E0757192|1
G108512|R267772|EAR|S021322|extra-cellular acidification rate|L075539|UMLS|E0757192|1
