GroupID|RecordID|SF|SFUI|NormSF|LF|LFUI|NormLF|Source|SFEUI|LFEUI|Type|PrefSF|Score|Count|Frequency|UMLS.CUI|error|action
|R000992|AST|S006006|ast|astigmatism|L046961|astigmatism|UMLS|E0000496|E0010899|abbreviation||||||duplicate|retire
|R001081|AI|S004411|ai|artificial insemination|L046623|artificial insemination|UMLS|E0000592|E0010605|acronym||||||duplicate|retire
|R001473|BSA|S009858|bsa|bovine serum albumin|L051595|bovine serum albumin|UMLS|E0000689|E0013853|abbreviation||||||duplicate|retire
|R002821|CP|S014816|cp|ceruloplasmin|L056001|ceruloplasmin|UMLS|E0001327|E0016076|abbreviation||||||duplicate|retire
|R002822|CP|S014816|cp|caeruloplasmin|L052819|ceruloplasmin|UMLS|E0001327|E0016076|abbreviation||||||duplicate|retire
|R003364|CY|S015899|cy|ciclosporin|L057781|ciclosporin|UMLS|E0001728|E0020354|abbreviation||||||duplicate|retire
|R003365|CY|S015899|cy|cyclosporin|L063679|ciclosporin|UMLS|E0001728|E0020354|abbreviation||||||duplicate|retire
|R003366|CY|S015899|cy|cyclosporine|L063686|ciclosporin|UMLS|E0001728|E0020354|abbreviation||||||duplicate|retire
|R003367|CY|S015899|cy|cycloheximide|L063497|cycloheximide|UMLS|E0001728|E0020325|abbreviation||||||duplicate|retire
|R003368|CY|S015899|cy|cycle|L063244|cycle|UMLS|E0001728|E0020281|abbreviation||||||duplicate|retire
|R003369|CY|S015899|cy|cyproheptadine|L063711|cyproheptadine|UMLS|E0001728|E0020408|abbreviation||||||duplicate|retire
|R003370|CY|S015899|cy|Cytoxan|L010953|Cytoxan|UMLS|E0001728|E0001756|abbreviation||||||duplicate|retire
|R003371|CY|S015899|cy|cytology|L064196|cytology|UMLS|E0001728|E0020606|abbreviation||||||duplicate|retire
|R003372|CY|S015899|cy|cyclocreatine|L063473|cyclocreatine|UMLS|E0001728|E0403015|abbreviation||||||duplicate|retire
|R003373|CY|S015899|cy|cytosol|L064353|cytosol|UMLS|E0001728|E0020664|abbreviation||||||duplicate|retire
|R003403|CAP|S012226|cap|College of American Pathologists|L009975||UMLS|E0001771|E0001574|acronym||||||duplicate|retire
|R003494|DAG|S018151|dag|diacylglycerol|L066430|diacylglycerol|UMLS|E0001823|E0022270|abbreviation||||||duplicate|retire
|R003495|DAG|S018151|dag|diacyl glycerol|L066423|diacylglycerol|UMLS|E0001823|E0022270|abbreviation||||||duplicate|retire
|R003496|DAG|S018151|dag|diacyl-glycerol|L066427|diacylglycerol|UMLS|E0001823|E0022270|abbreviation||||||duplicate|retire
|R003794|DM|S019252|dm|dermatomyositis|L065967|dermatomyositis|UMLS|E0001870|E0021943|abbreviation||||||duplicate|retire
|R003795|DM|S019252|dm|dermato-myositis|L065955||UMLS|E0001870|E0021943|abbreviation||||||duplicate|retire
|R005010|FMLP|S025057|fmlp|formyl methionyl leucyl phenylalanine|L079150|formylmethionylleucylphenylalanine|UMLS|E0002468||acronym||||||duplicate|retire
|R005022|fMLP|S086276|fmlp|formyl methionyl leucyl phenylalanine|L079150|formylmethionylleucylphenylalanine|UMLS|E0002468||acronym||||||duplicate|retire
|R005941|HPB-ALL|S032190|hpb_all|human peripheral blood-acute lymphocytic leukemia|L090781||UMLS|E0002920||acronym||||||duplicate|retire
|R005942|HPB-ALL|S032190|hpb_all|human peripheral blood-acute lymphoblastic leukemia|L090780||UMLS|E0002920||acronym||||||duplicate|retire
|R009449|OP|S051388|op|ophthalmology|L121742|ophthalmology|UMLS|E0004580|E0043955|abbreviation||||||duplicate|retire
|R009450|OP|S051388|op|operation|L121713|operation|UMLS|E0004580|E0043918|abbreviation||||||duplicate|retire
|R009724|PC|S053723|pc|capillary pressure|L053651|capillary pressure|UMLS|E0004647|E0015020|abbreviation||||||duplicate|retire
|R012250|Sm|S067116|sm|samarium|L143671|samarium|UMLS|E0005430|E0054265|abbreviation||||||duplicate|retire
|R013499|TAT|S069082|tat|toxin-antitoxin|L158812||UMLS|E0005828|E0061565|acronym||||||duplicate|retire
|R014134|ad lib|S078206|ad lib|ad libitum|L039200|ad libitum|UMLS|E0007597|E0581327|abbreviation||||||duplicate|retire
|R014135|ad-lib|S078210|ad_lib|ad libitum|L039200|ad libitum|UMLS|E0007597|E0581327|abbreviation||||||duplicate|retire
|R014715|CAMP|S012203|camp|cyclic adenosinemonophosphate|L063318|cyclic adenosinemonophosphate|UMLS|E0014561|E0200860|acronym||||||duplicate|retire
|R014716|CAMP|S012203|camp|cyclic adenosine monophosphate|L063294|cyclic adenosinemonophosphate|UMLS|E0014561|E0200860|acronym||||||duplicate|retire
|R014717|CAMP|S012203|camp|cyclic adenosine-monophosphate|L063317|cyclic adenosinemonophosphate|UMLS|E0014561|E0200860|acronym||||||duplicate|retire
|R015643|ANF|S005024|anf|anti-nuclear factor|L044334||UMLS|E0070861|E0724229|acronym||||||duplicate|retire
|R015694|ASP|S005970|asp|aspartic acid|L046837|aspartic acid|UMLS|E0070864|E0010757|abbreviation||||||duplicate|retire
|R015695|ASP|S005970|asp|aspartate|L046812|aspartate|UMLS|E0070864|E0010743|abbreviation||||||duplicate|retire
|R015696|ASP|S005970|asp|aspirin|L046874|aspirin|UMLS|E0070864|E0010810|abbreviation||||||duplicate|retire
|R017176|CB|S012398|cb|carbenicillin|L053745|carbenicillin|UMLS|E0202149|E0015126|abbreviation||||||duplicate|retire
|R017205|CBC|S012462|cbc|complete blood count|L060061|complete blood count|UMLS|E0202154|E0018162|acronym||||||duplicate|retire
|R017206|CBC|S012462|cbc|complete blood cell count|L060060|complete blood cell count|UMLS|E0202154|E0756115|acronym||||||duplicate|retire
|R017207|CBC|S012462|cbc|complete blood-cell count|L060064|complete blood cell count|UMLS|E0202154|E0756115|acronym||||||duplicate|retire
|R017265|CCA|S012598|cca|choriocarcinoma|L057187|choriocarcinoma|UMLS|E0202159|E0016765|abbreviation||||||duplicate|retire
|R017266|CCA|S012598|cca|chorio carcinoma|L057176|choriocarcinoma|UMLS|E0202159|E0016765|abbreviation||||||duplicate|retire
|R017267|CCA|S012598|cca|chorio-carcinoma|L057180|choriocarcinoma|UMLS|E0202159|E0016765|abbreviation||||||duplicate|retire
|R018010|GA|S026957|ga|glucoamylase|L082034|glucoamylase|UMLS|E0202412|E0301642|abbreviation||||||duplicate|retire
|R019849|PSP|S056836|psp|postsynaptic potential|L132529|postsynaptic potential|UMLS|E0202961|E0210124|acronym||||||duplicate|retire
|R020018|RD|S059977|rd|registered dietician|L140359|registered dietician|UMLS|E0202980|E0210157|acronym||||||duplicate|retire
|R020019|RD|S059977|rd|registered dietitian|L140360|registered dietician|UMLS|E0202980|E0210157|acronym||||||duplicate|retire
|R020044|REP|S060139|rep|relative potency|L140624|relative potency|UMLS|E0202983|E0688599|abbreviation||||||duplicate|retire
|R020053|RN|S060604|rn|Registered Nurse|L028738|Registered Nurse|UMLS|E0202985|E0314675|acronym||||||duplicate|retire
|R020054|RN|S060604|rn|registered nurse|L140364|Registered Nurse|UMLS|E0202985|E0314675|acronym||||||duplicate|retire
|R020091|RVH|S061364|rvh|right ventricular hypertrophy|L142896|right ventricular hypertrophy|UMLS|E0202991|E0210189|acronym||||||duplicate|retire
|R020262|SD|S063842|sd|standard deviation|L150741|standard deviation|UMLS|E0203010|E0210278|acronym||||||duplicate|retire
|R020263|SD|S063842|sd|standard-deviation|L150833|standard deviation|UMLS|E0203010|E0210278|acronym||||||duplicate|retire
|R020310|SD|S063842|sd|Sprague-Dawley|L031594|Sprague Dawley|UMLS|E0203011|E0671005|acronym||||||duplicate|retire
|R020527|SL|S064712|sl|spin-lock|L149904|spinlock|UMLS|E0203025||acronym||||||duplicate|retire
|R020530|SL|S064712|sl|surface Laplacian|L153539|surface Laplacian|UMLS|E0203025||acronym||||||duplicate|retire
|R020582|SMC|S064930|smc|somatomedin C|L149231|somatomedin C|UMLS|E0203031|E0056703|acronym||||||duplicate|retire
|R020583|SMC|S064930|smc|somatomedine C|L149237|somatomedin C|UMLS|E0203031|E0056703|acronym||||||duplicate|retire
|R020584|SMC|S064930|smc|somatomedin-C|L149234|somatomedin C|UMLS|E0203031|E0056703|acronym||||||duplicate|retire
|R020585|SMC|S064930|smc|somatomedine-C|L149238|somatomedin C|UMLS|E0203031|E0056703|acronym||||||duplicate|retire
|R020629|SPH|S065516|sph|sphingosine|L149816|sphingosine|UMLS|E0203035|E0057109|abbreviation||||||duplicate|retire
|R020630|SPH|S065516|sph|sphingomyelin|L149808|sphingomyelin|UMLS|E0203035|E0068236|abbreviation||||||duplicate|retire
|R020631|SPH|S065516|sph|sphyngomyelin|L149839|sphingomyelin|UMLS|E0203035|E0068236|abbreviation||||||duplicate|retire
|R020661|SQ|S065665|sq|squalene|L150487|squalene|UMLS|E0203040|E0220622|abbreviation||||||duplicate|retire
|R020837|TED|S069714|ted|thromboembolic disease|L156789|thromboembolic disease|UMLS|E0203057|E0210311|acronym||||||duplicate|retire
|R021058|VR|S075482|vr|ventral root|L166195|ventral root|UMLS|E0203079|E0314758|acronym||||||duplicate|retire
|R021080|Y|S077049|y|yield|L169373|yield|UMLS|E0203083|E0065872|abbreviation||||||duplicate|retire
|R021081|Y|S077049|y|yield coefficient|L169374|yield coefficient|UMLS|E0203083|E0722072|abbreviation||||||duplicate|retire
|R021082|Y|S077049|y|yeast|L169281|yeast|UMLS|E0203083|E0065842|abbreviation||||||duplicate|retire
|R021083|Y|S077049|y|year|L169257|year|UMLS|E0203083|E0065837|abbreviation||||||duplicate|retire
|R021123|BI|S009181|bi|Billroth I|L007065|Billroth I|UMLS|E0203094|E0209759|acronym||||||duplicate|retire
|R021124|BI|S009181|bi|Bilroth-I|L007073||UMLS|E0203094|E0209759|acronym||||||duplicate|retire
|R021358|PPD|S056271|ppd|purified protein derivative|L136786||UMLS|E0203140|E0051234|acronym||||||duplicate|retire
|R021465|VD|S074829|vd|venereal disease|L165996|venereal disease|UMLS|E0203159|E0064229|acronym||||||duplicate|retire
|R021492|VD|S074829|vd|volume of dead space|L167794||UMLS|E0203163||acronym||||||duplicate|retire
|R021493|VD|S074829|vd|deadspace volume|L064810|deadspace volume|UMLS|E0203163|E0720170|acronym||||||duplicate|retire
|R021494|VD|S074829|vd|dead space volume|L064801|deadspace volume|UMLS|E0203163|E0720170|acronym||||||duplicate|retire
|R021495|VD|S074829|vd|dead-space volume|L064807|deadspace volume|UMLS|E0203163|E0720170|acronym||||||duplicate|retire
|R021496|VD|S074829|vd|diastolic velocity|L066673|diastolic velocity|UMLS|E0203163|E0720163|acronym||||||duplicate|retire
|R021497|VD|S074829|vd|volume of distribution|L167795||UMLS|E0203163||acronym||||||duplicate|retire
|R021498|VD|S074829|vd|distribution volume|L068833|distribution volume|UMLS|E0203163|E0720158|acronym||||||duplicate|retire
|R021562|W|S075922|w|west|L168424|West|UMLS|E0203175|E0220635|abbreviation||||||duplicate|retire
|R021570|CEL|S013350|cel|Celsius|L008969|Celsius|UMLS|E0203179|E0207291|abbreviation||||||duplicate|retire
