GroupID|RecordID|SF|SFUI|NormSF|LF|LFUI|NormLF|Source|SFEUI|LFEUI|Type|PrefSF|Score|Count|Frequency|UMLS.CUI
|R000992|AST|S006006|ast|astigmatism|L046961|astigmatism|UMLS|E0000496|E0010899|abbreviation|||||
|R001081|AI|S004411|ai|artificial insemination|L046623|artificial insemination|UMLS|E0000592|E0010605|acronym|||||
|R001473|BSA|S009858|bsa|bovine serum albumin|L051595|bovine serum albumin|UMLS|E0000689|E0013853|abbreviation|||||
|R002821|CP|S014816|cp|ceruloplasmin|L056001|ceruloplasmin|UMLS|E0001327|E0016076|abbreviation|||||
|R002822|CP|S014816|cp|caeruloplasmin|L052819|ceruloplasmin|UMLS|E0001327|E0016076|abbreviation|||||
|R003364|CY|S015899|cy|ciclosporin|L057781|ciclosporin|UMLS|E0001728|E0020354|abbreviation|||||
|R003365|CY|S015899|cy|cyclosporin|L063679|ciclosporin|UMLS|E0001728|E0020354|abbreviation|||||
|R003366|CY|S015899|cy|cyclosporine|L063686|ciclosporin|UMLS|E0001728|E0020354|abbreviation|||||
|R003367|CY|S015899|cy|cycloheximide|L063497|cycloheximide|UMLS|E0001728|E0020325|abbreviation|||||
|R003368|CY|S015899|cy|cycle|L063244|cycle|UMLS|E0001728|E0020281|abbreviation|||||
|R003369|CY|S015899|cy|cyproheptadine|L063711|cyproheptadine|UMLS|E0001728|E0020408|abbreviation|||||
|R003370|CY|S015899|cy|Cytoxan|L010953|Cytoxan|UMLS|E0001728|E0001756|abbreviation|||||
|R003371|CY|S015899|cy|cytology|L064196|cytology|UMLS|E0001728|E0020606|abbreviation|||||
|R003372|CY|S015899|cy|cyclocreatine|L063473|cyclocreatine|UMLS|E0001728|E0403015|abbreviation|||||
|R003373|CY|S015899|cy|cytosol|L064353|cytosol|UMLS|E0001728|E0020664|abbreviation|||||
|R003403|CAP|S012226|cap|College of American Pathologists|L009975||UMLS|E0001771|E0001574|acronym|||||
|R003494|DAG|S018151|dag|diacylglycerol|L066430|diacylglycerol|UMLS|E0001823|E0022270|abbreviation|||||
|R003495|DAG|S018151|dag|diacyl glycerol|L066423|diacylglycerol|UMLS|E0001823|E0022270|abbreviation|||||
|R003496|DAG|S018151|dag|diacyl-glycerol|L066427|diacylglycerol|UMLS|E0001823|E0022270|abbreviation|||||
|R003794|DM|S019252|dm|dermatomyositis|L065967|dermatomyositis|UMLS|E0001870|E0021943|abbreviation|||||
|R003795|DM|S019252|dm|dermato-myositis|L065955||UMLS|E0001870|E0021943|abbreviation|||||
|R005010|FMLP|S025057|fmlp|formyl methionyl leucyl phenylalanine|L079150|formylmethionylleucylphenylalanine|UMLS|E0002468||acronym|||||
|R005022|fMLP|S086276|fmlp|formyl methionyl leucyl phenylalanine|L079150|formylmethionylleucylphenylalanine|UMLS|E0002468||acronym|||||
|R005941|HPB-ALL|S032190|hpb_all|human peripheral blood-acute lymphocytic leukemia|L090781||UMLS|E0002920||acronym|||||
|R005942|HPB-ALL|S032190|hpb_all|human peripheral blood-acute lymphoblastic leukemia|L090780||UMLS|E0002920||acronym|||||
|R009449|OP|S051388|op|ophthalmology|L121742|ophthalmology|UMLS|E0004580|E0043955|abbreviation|||||
|R009450|OP|S051388|op|operation|L121713|operation|UMLS|E0004580|E0043918|abbreviation|||||
|R009724|PC|S053723|pc|capillary pressure|L053651|capillary pressure|UMLS|E0004647|E0015020|abbreviation|||||
|R012250|Sm|S067116|sm|samarium|L143671|samarium|UMLS|E0005430|E0054265|abbreviation|||||
|R013499|TAT|S069082|tat|toxin-antitoxin|L158812||UMLS|E0005828|E0061565|acronym|||||
|R014134|ad lib|S078206|ad lib|ad libitum|L039200|ad libitum|UMLS|E0007597|E0581327|abbreviation|||||
|R014135|ad-lib|S078210|ad_lib|ad libitum|L039200|ad libitum|UMLS|E0007597|E0581327|abbreviation|||||
|R014715|CAMP|S012203|camp|cyclic adenosinemonophosphate|L063318|cyclic adenosinemonophosphate|UMLS|E0014561|E0200860|acronym|||||
|R014716|CAMP|S012203|camp|cyclic adenosine monophosphate|L063294|cyclic adenosinemonophosphate|UMLS|E0014561|E0200860|acronym|||||
|R014717|CAMP|S012203|camp|cyclic adenosine-monophosphate|L063317|cyclic adenosinemonophosphate|UMLS|E0014561|E0200860|acronym|||||
|R015643|ANF|S005024|anf|anti-nuclear factor|L044334||UMLS|E0070861|E0724229|acronym|||||
|R015694|ASP|S005970|asp|aspartic acid|L046837|aspartic acid|UMLS|E0070864|E0010757|abbreviation|||||
|R015695|ASP|S005970|asp|aspartate|L046812|aspartate|UMLS|E0070864|E0010743|abbreviation|||||
|R015696|ASP|S005970|asp|aspirin|L046874|aspirin|UMLS|E0070864|E0010810|abbreviation|||||
|R017176|CB|S012398|cb|carbenicillin|L053745|carbenicillin|UMLS|E0202149|E0015126|abbreviation|||||
|R017205|CBC|S012462|cbc|complete blood count|L060061|complete blood count|UMLS|E0202154|E0018162|acronym|||||
|R017206|CBC|S012462|cbc|complete blood cell count|L060060|complete blood cell count|UMLS|E0202154|E0756115|acronym|||||
|R017207|CBC|S012462|cbc|complete blood-cell count|L060064|complete blood cell count|UMLS|E0202154|E0756115|acronym|||||
