LF1|LF2|Synonym
lower oesophageal segment|lower esophageal segment|Y
postendoscopic retrograde cholangiopancreatography pancreatitis|post endoscopic retrograde cholangio-pancreatography pancreatitis|Y
postendoscopic retrograde cholangiopancreatography pancreatitis|postendoscopic retrograde cholangio-pancreatography pancreatitis|Y
postendoscopic retrograde cholangiopancreatography pancreatitis|post-endoscopic retrograde cholangio-pancreatography pancreatitis|Y
gastrooesophageal reflux disease-related|gastro-oesophageal reflux disease-related|Y
gastrooesophageal reflux disease-related|gastro-esophageal reflux disease-related|Y
gastrooesophageal reflux disease-related|gastroesophageal reflux disease-related|Y
nonaqueous reversed phase liquid chromatography|nonaqueous reversed-phase liquid chromatography|Y
nonaqueous reversed phase liquid chromatography|non-aqueous reversed phase liquid chromatography|Y
endo-ethenotetrahydrooripavine|endoethenotetrahydrooripavine|Y
anti-cluster of differentialion 8 monoclonal antibody|anti-cluster of differentialion 4 monoclonal antibody|Y
step-wise discriminant analysis|stepwise discriminant analysis|Y
phosphorylated cAMP-responsive element-binding protein|phosphorylated cAMP responsive element-binding protein|Y
phosphorylated cAMP-responsive element-binding protein|phosphorylated cAMP-responsive element binding protein|Y
phosphorylated cAMP-responsive element-binding protein|phosphorylated cAMP-response element-binding protein|Y
p-hydroxymercuriphenylsulphonate|p-hydroxymercuriphenyl sulphonate|Y
anti-human immunodeficiency virus type 1 antibody|anti-human immunodeficiency virus type-1 antibody|Y
herniated inter-vertebral disc|herniated intervertebral disc|Y
peroxisome proliferator activated receptor-gamma2|peroxisome proliferator activated receptor-gamma 2|Y
peroxisome proliferator activated receptor-gamma2|peroxisome proliferator activated receptor gamma2|Y
peroxisome proliferator activated receptor-gamma2|peroxisome proliferator-activated receptor-gamma2|Y
peroxisome proliferator activated receptor-gamma2|peroxisome proliferator activated receptor-gamma-2|Y
matrix assisted laser desorption/ionization|matrix-assisted laser desorption/ionization|Y
matrix assisted laser desorption/ionization|matrix assisted laser desorption ionization|Y
matrix assisted laser desorption/ionization|matrix assisted laser desorption/ionisation|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-8|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-9|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloproteinase with thrombospondin motifs-14|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-10|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-6|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloproteinase with thrombospondin motifs-13|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-19|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-8|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-3|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-7|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-15|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-18|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-14|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloproteinase with thrombospondin motifs-1|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloproteinase with thrombospondin motif-1|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-13|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-3|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-16|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-4|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-2|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-2|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-4|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-9|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-17|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloproteinase with thrombospondin motifs-19|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-12|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-20|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-14|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloproteinase with thrombospondin motifs-17|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-10|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-17|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-5|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-1|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-7|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-18|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloproteinase with thrombospondin motifs-15|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloproteinase with thrombospondin motifs-12|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloproteinase with thrombospondin motifs-10|Y
