LF1|LF2|Synonym
toll-interleukin1 receptor domain-containing adapter-inducing interferon-β|toll-interleukin1 receptor domain-containing adapter inducing interferon beta|Y
ferredoxin NADP(+) oxidoreductase|ferredoxin:NADP+ reductase|Y
CCAAT-enhancer binding protein β|CCAAT enhancer binding protein beta|Y
peroxisome proliferator-activated receptor γ coactivator-1α|peroxisome proliferator-activated receptor gamma coactivator-1 alpha|
Toll-interleukin1 receptor domain-containing adapter-inducing interferon β|toll/interleukin 1 receptor domain-containing adapter-inducing interferon-beta|
American Society of Anaesthesiology class 5|American Society of Anesthesiologists Grade V|
β amyloid precursor protein-cleaving enzyme-2|β amyloid precursor protein cleaving enzyme 2|
phosphatidylinositol 3-kinase p110gamma|phosphoinositide 3-kinase p110gamma|
follicle stimulating hormone releasing factor|follicle-stimulating hormone releasing factor|
anti-beta2-glycoprotein I antibody|anti-β-2 glycoprotein-1 antibody|
non-iron-deficiency anaemia|non-iron deficiency anemia|
matrix-assisted laser desorption/ionisation mass spectrometry|matrix-assisted laser desorption/ionization mass spectrometry|
Toll/interleukin 1 receptor domain-containing adapter-inducing interferon β|toll/interleukin-1 receptor domain-containing adapter-inducing interferon beta|
retinoic-acid-receptor-related orphan receptor gammat|retinoic acid receptor-related orphan receptor gammaT|
matrix-assisted laser desorption/ionization time of flight mass spectrometry|matrix-assisted laser desorption/ionisation time of flight mass spectrometric|
microtubule-associated protein 1 light-chain 3|microtubule associated protein 1 light-chain 3|
toll-interleukin 1 receptor domain-containing adapter-inducing interferon-β|Toll-interleukin1 receptor domain-containing adapter-inducing interferon-beta|
Toll/interleukin-1 receptor domain-containing adapter-inducing interferon β|Toll-interleukin1 receptor domain-containing adapter inducing interferon beta|
anti-β (2)-glycoprotein I antibody|anti-β(2)-glycoprotein-I antibody|
β-2-glycoprotein-I|β-2 glycoprotein I|
poly(vinyl chloride)|poly-vinyl-chloride|
colony forming unit-granulocyte/macrophage|colony-forming unit-granulocyte/macrophage|
tumor necrosis factor receptor-associated factor-2|tumour necrosis factor receptor associated factor-2|
caffeic acid O-methyltransferase|caffeic acid ortho-methyltransferase|
matrix-assisted laser desorption-ionisation|matrix-assisted laser desorption/ionization|
