abbreviation	sense	variation	CUI	frequency
a0	0 abortions	A0_5	c0233107	1
a1	1 abortion	A1_4	c0233108	0.8675
a1	a1 segment of anterior cerebral artery	A1_4	c0923398	0.1325
a_p	anterior posterior	A/P_2|a/p_4	c1999039	0.9768
a_p	assessment and plan	a/p_2|A/P_1	c1827496	0.0116
a_p	abdomen/pelvis	A/P_1	c1508499	0.0039
a_p	active/passive	A/P_1	c2721281	0.0039
a_p	assessment/plan	a/p_1	c1827496	0.0039
aa	alcoholics anonymous	AA_6	c0001972	0.721
aa	african american	AA_3|aa_1	c0085756	0.2098
aa	amino acid	AA_2|aa_1	c0002520	0.0346
aa	aortic atresia	AA_1|aa_1	c0345091	0.019
aa	affected area	AA_1	c1879646	0.0056
aa	awake and alert	AA_1	c2226610	0.0078
aa	artery	aa_1	c0003842	0.0022
abd	abdomen	Abd_8|ABD_6|abd_3|ABd_1	c0000726	0.988
abd	abdominal	abd_1|ABD_1	null	0.012
abg	arterial blood gas	ABG_14	c0150411	1
abo	a/b/o blood type	abo_1|ABO_12	c0200499	1
abs	antibodies	Abs_4|abs_3|ABS_1	c0003241	0.998
abs	absolute	abs_1	c0205344	0.002
abx	antibiotics	abx_11|Abx_3	c0003232	1
ac	before meals	ac_10|AC_2|a.c._3	c1550738	0.8926
ac	advanced-control	ac_1|AC_1	c0205179|c2587213	0.0548
ac	"cyclophosphamide, doxorubicin"	AC_2	c0050385	0.0089
ac	antecubital	AC_1	c1549091	0.0045
ac	attenuation correction	AC_1	c2986723	0.0045
ac	assist control	AC_1	c0419014	0.0089
ac	acromioclavicular	AC_1	c0695640	0.0257
ace	angiotensin converting enzyme	ACE_9|ace_5	c0201888	1
acei	ace inhibitor (angiotensin converting enzyme inhibitor)	ACEi_8|acei_2|ACEI_10	c0003015	1
achs	"before eating, at bedtime"	ACHS_2|achs_8	c0013470|c0521112	1
acnp	acute care nurse practitioner	acnp_1|ACNP_7	c1552258	1
acs	acute coronary syndrome	ACS_14|acs_2	c0948089	1
acth	adrenocorticotropic hormone	ACTH_19	c0001655	1
adhd	attention deficit hyperactivity disorder	ADHD_20	c1263846	1
adl	activities of daily living	ADL_12	c0001288	1
adls	activities of daily living	ADLS_1|ADLs_18	c0001288	1
aed	antiepileptic drug	AED_10	c0003299	1
af	atrial fibrillation	AF_9	c0004238	0.078
af	afebrile	af_1|AF_7	c0277797	0.5287
af	anterior fontanelle	AF_6	c1305081|c0224549	0.3871
af	amniotic fluid	AF_1	c0002638	0.0062
afb	acid fast bacilli	afb_2|AFB_18	c0483226	1
afib	atrial fibrillation	AFIB_2|Afib_7|afib_9|A.fib_2	c0004238	1
ag	antigen	ag_1|AG_3|Ag_10	c0003320	0.941
