"abr","long_form"
"ā","before"
"ā","before"
"A","adenosine"
"A","apical"
"a.a.","of each"
"a.a.","amino acids"
"A1C","glycosylated hemoglobin"
"Aa.","arteria"
"AAA","abdominal aortic aneurysm"
"AAD","antibiotic-associated diarrhea"
"AAI","acute arterial insufficiency"
"AAPMC","antibiotic-associated pseudomembranous colitis"
"AAT","activity as tolerated"
"AAT","atypical antibody test"
"AAL","anterior axillary line"
"AAOx3","awake, alert, and oriented, times 3"
"A/B","acid-base ratio"
"ab","abdomen"
"ab","abdominal"
"ab","abortion"
"Ab","antibody"
"AB","abortion"
"ABC","airway, breathing, circulation"
"ABC","aspiration biopsy cytology"
"ABCD","airway, breathing, circulation, disability"
"ABCD","asymmetry, borders, color, diameter"
"ABCD","ABCD rating"
"ABCs","airway, breathing, circulation, etc."
"ABCDs","airway, breathing, circulation, etc."
"ABCDEs","airway, breathing, circulation, etc."
"ACA","acinic cell carcinoma"
"ACA","Affordable Care Act"
"Abd","abdomen"
"Abd","abdominal"
"Abd","abduction"
"ABD","army battle dressing"
"ABE","acute bacterial endocarditis"
"ABG","arterial blood gas"
"ABI","acquired brain injury"
"ABI","ankle brachial pressure index"
"ABMT","autologous bone marrow transplantation"
"Abn","abnormal"
"ABO","Landsteiner's blood grouping system"
"ABPA","allergic broncho-pulmonary aspergillosis"
"ABPI","ankle brachial pressure index"
"ABVD","Doxorubicin, bleomycin, vinblastine, dacarbazine"
"ABX","antibiotics"
"a.c.","before a meal"
"AC","before a meal"
"AC","abdominal circumference"
"AC","assisted controlled ventilation"
"AC","acromioclavicular joint"
"ACB","aortocoronary bypass"
"AC&BC","air conduction and bone conduction"
"Acc","accommodation"
"ACCU","acute coronary care unit"
"ACD","anemia of chronic disease"
"ACDF","anterior cervical discectomy and fusion"
"Ace","acetone"
"ACE","angiotensin-converting enzyme"
"ACEI","angiotensin-converting enzyme inhibitor"
"ACh","acetylcholine"
"AChE","acetylcholine esterase"
"ACL","anterior cruciate ligament"
"ACLS","advanced cardiac life support"
"ACS","altered conscious state"
"ACS","acute coronary syndrome"
"ACS","acute chest syndrome"
"ACTH","adrenocorticotropic hormone"
"ACP","Advance care planning"
"ACPO","acute colonic pseudo-obstruction"
"ACU","ambulatory care unit"
"ad.","right ear"
"AD","Alzheimer's disease"
"AD","acute distress"
"AD","right ear"
"AD","as directed"
"ADA","adenosine deaminase"
"ADA","American Dental Association"
"ADC","AIDS dementia complex"
"ADCC","antibody-dependent cell-mediated cytotoxicity"
"ADD","attention deficit disorder"
"ADH","antidiuretic hormone"
"ADHD","attention deficit hyperactivity disorder"
"ADHF","acute decompensated heart failure"
"ADHR","autosomal dominant hypophosphatemic rickets"
"ADLs","activities of daily living"
"ad lib","as desired"
"adm","admission"
"Adn","adnexae"
"ADP","adenosine diphosphate"
"ad part. dolent","to the painful parts"
"ADR","adverse drug reaction"
"AEB","as evidenced by"
"AED","automated external defibrillator"
"AED","antiepileptic drug"
"AEM","ambulatory electrocardiogram monitoring"
"AF","atrial fibrillation"
"AF","atrial flutter"
"AF","amniotic fluid"
"AF-AFP","amniotic fluid alpha fetoprotein"
"AFB","acid-fast bacilli"
"AFI","amniotic fluid index"
"AFib","atrial fibrillation"
"AFL","atrial flutter"
"AFNTR","acute febrile nonhemolytic transfusion reaction"
"AFO","ankle-foot orthosis"
"AFP","alpha-fetoprotein"
"AFSOF","anterior fontanelle soft, open, flat"
"Ag","antigen"
"AGA","anti-gliadin antibodies"
"AGA","appropriate gestational age"
"AGC","atypical glandular cells"
"AGES","age, grade, extent, size"
"AGN","acute glomerulonephritis"
"AH","auditory hallucinations"
"a.h.","every other hour"
"AHD","arteriosclerotic heart disease"
"AHF","antihemophilic factor"
"AHG","antihemophilic globulin"
"AHH","aryl hydrocarbon hydroxylase"
"AHR","airway hyper-reactivity"
"AHT","antihyaluronic acid test"
"AI","artificial insemination"
"AI","aortic insufficiency"
"AICD","automated implantable cardioverter-defibrillator"
"AID","artificial insemination by donor"
"AIDS","acquired immune deficiency syndrome"
"AIH","artificial insemination by husband"
"AIHD","artificial insemination by pooled husband and donor semen"
"AIPD","acute infectious and parasitical diseases"
"AIPD","autoimmune progesterone dermatitis"
"AIPD","acute inflammatory demyelinating polyneuropathy"
"AIIRB","angiotensin II receptor antagonist"
"AIN","allergic interstitial nephritis"
"AIR","anterior interval release"
"AIR","acute inpatient rehabilitation"
"AIS","adenocarcinoma in situ"
"AIS","androgen insensitivity syndrome"
"AK","acanthamoeba keratitis"
"aka","also known as"
"AKA","above-knee amputation"
"AKA","also known as"
"ALA","aminolevulinic acid"
"Alc","alcohol"
"ALCAPA","anomalous left coronary artery from the pulmonary artery"
"ALF","assisted living facility"
"ALG","antilymphocytic globulin"
"ALI","acute limb injury"
"ALI","acute lung injury"
"Alk phos","alkaline phosphatase"
"ALL","acute lymphoblastic leukemia"
"ALL","allergies"
"ALP","alkaline phosphatase"
"ALPS","autoimmune lymphoproliferative syndrome"
"ALS","amyotrophic lateral sclerosis"
"ALS","advanced life support"
"ALT","alanine transaminase"
"altern. d.","every other day"
"AMA","advanced maternal age"
"AMA","against medical advice"
"AMA","antimitochondrial antibody"
"AMA","American Medical Association"
"Amb","ambulate"
"AMC","arthrogryposis multiplex congenita"
"AMI","acute mesenteric ischemia"
"AMI","acute myocardial infarction"
"AML","acute myeloid leukemia"
"AMO","advanced medical optics"
"AMP","adenosine monophosphate"
"Amp","ampule"
"Amp","ampere"
"AMPA receptor","alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor"
"AMS","acute mountain sickness"
"AMS","atypical measles syndrome"
"AMS","altered mental status"
"Amt","amount"
"ANA","antinuclear antibody"
"ANCA","antineutrophil cytoplasmic antibody"
"ANDI","aberrations of normal development and involution"
"ANF","atrial natriuretic factor"
"ANP","atrial natriuretic peptide"
"ANS","autonomic nervous system"
"Ant","anterior"
"Anti-","refers to an antibody to the suffixed antigen"
"ANTR","asymmetrical tonic neck reflex"
"ANUG","acute necrotizing ulcerative gingivitis"
"A&O","alert and oriented"
"A&O","aware and oriented"
"A/O","alert and oriented"
"A/O","aware and oriented"
"A&Ox3","alert and oriented, times 3"
"A&Ox4","alert and oriented, times 4"
"AODM","adult-onset diabetes mellitus"
"AOM","acute otitis media"
"a.p.","before a meal"
"AP","alkaline phosphatase"
"AP","anteroposterior"
"AP","angina pectoris"
"AP","action potential"
"AP","angina pectoris"
"AP","area postrema"
"A&P","auscultation and percussion"
"A&P","anatomy and physiology"
"A/P","anatomy and physiology"
"A/P","assessment and plan"
"APACHE II","Acute Physiology and Chronic Health Evaluation II"
"APAP","paracetamol"
"APAP","automatic positive airway pressure"
"APC","atrial premature contraction"
"APC","antigen-presenting cell"
"APC","activated protein C"
"APD","adult polycystic disease"
"APD","automated peritoneal dialysis"
"APKD","adult polycystic kidney disease"
"APECED","autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy"
"APGAR","appearance, pulse, grimace, activity, respiration"
"APH","antepartum haemorrhage"
"APLS","antiphospholipid syndrome"
"APMPPE","acute posterior multifocal placoid pigment epitheliopathy"
"applic.","applicandus"
"appy","appendectomy"
"APP","as per protocol"
"APR","abdominoperineal resection"
"APS","autoimmune polyendocrine/polyglandular syndrome"
"APS","antiphospholipid syndrome"
