abbreviation	sense	variation	CUI	frequency
disp	dispense	disp_9|Disp_5	c1880359	0.612
disp	displaced	disp_2	c0012727	0.019
disp	disposition	Disp_7|DISP_1	c0743223	0.369
qow	every other week	QOW_4|qow_3	c0585332	1
gu	genitourinary	GU_21	c0042066	0.996
gu	guage	gu_1	c0456564	0.004
gt	gastrostomy tube	GT_23|gt_3	c0150595	0.9618
gt	great	gt_1	c1704243	0.0332
gt	glutamyl transpeptidase	GT_1	c0017040	0.005
rom	range of motion	ROM_18	c2607871	0.995
rom	rupture of membranes	ROM_2	c0948106	0.005
pth	parathyroid hormone	PTH_18|pth_2	c0030520	1
scd	sickle cell disease	SCD_1	c0002895	0.002
scd	sequential compression device	SCD_16|scd_6	c2711456	0.998
llq	left lower quadrant	LLQ_18|llq_2	c0439737	1
c_d_i	"clean, dry, and intact"	c/d/i_21	c2116810|c0205222|c0205266	1
scc	squamous cell carcinoma	SCC_18|scc_1	c0007137	0.422
scc	surgical critical care	s.c.c._1	c1690590	0.578
tibc	total iron binding capacit	TIBC_9|tibc_1	c0439810|c1148613	1
osh	outside hospital	OSH_19	c0205101	1
derm	dermatology	DERM_5|derm_6|Derm_7	c0011627	0.987
derm	dermatitis	derm_2	c0011603	0.013
cmps	complete metabolic panels	cmps_1|CMPs_5	c0519825	1
pco2	partial pressure of carbon dioxide	pCO2_10|PCO2_2	c0391839	1
acth	adrenocorticotropic hormone	ACTH_23|acth_1	c0001655	1
ga	gestational age	GA._1|GA_5	c0017504	0.0895
ga	georgia	GA_4	c0017452	0.0539
ga	gauge	ga_8	c0456564	0.8566
ptx	pneumothorax	ptx_14|PTx_2|PTX_12	c0032326	1
osa	obstructive sleep apnea	OSA_18|OSa_1|osa_1	c0520679	1
sct	stem cell transplant	SCT_29	c1504389	1
gm	grandmother	GM_3	c0337474	0.012
gm	gram	gm_15|Gm_2	c0439208	0.988
ros	review of systems	ROS_20	c0489633	1
pts	patient's	pts_17|Pts._1|Pts_1|pts._1	c0030705|c1546511	1
inpt	inpatient	inpt._3|INPT_1|Inpt_3|inpt_14	c0021562	1
gi	gastrointestinal	GI_20|gi_2	c0521362	1
gh	growth hormone	GH_15|gh_2|Gh_1	c0037663	1
aua	american urological association	AUA_11	null	1
pkt	packet	pkt_8|PKT_2	c1337567	1
tx	treatment	tx._1|Tx_4|tx_14	c0087111	0.9899
tx	transplant	tx_1|TX_1	c0040732	0.0101
re	regarding	RE_3|Re_2|re_15	c0562401	1
tv	television	TV_8	c0039461	0.2405
tv	tricuspid valve	TV_5	c1269006	0.0972
tv	transvaginal	TV_2	c0175672	0.012
tv	tidal volume	TV_3|Tv_1	c0040210	0.6503
jvp	jugular venous pressure	JVP_19|jvp_1	c0428897	1
tr	tricuspid regurgitation	TR_12	c0040961	0.6917
tr	trach	TR_1	c0749607	0.0091
tr	thursday	TR_1	c0585028	0.0023
tr	trace	tr_4|.tr_1|Tr_1	c0442822	0.19
tr	trough	tr_1|TR_1	c0444506	0.1069
spep	serum protein electrophoresis	SPEP_23	c0201720	1
tm	tympanic membrane	tm_2|TM_15	c1268971	0.9671
tm	temperature	Tm_2	c0039476	0.0255
tm	temporomandibular	TM_1	c0039493	0.0074
ncpap	nasal continuous positive airway pressure	NCPAP_5|nCPAP_5	c1258045	1
th	thursday	Th_1|TH_1	c0585028	1
tf	tube feeding	TF_21	c0041281	1
tg	triglycerides	TG_5	c0041004	0.832
tg	thyroglobulin	Tg_8	c0040123	0.168
td	tetanus and diptheria	Td_6|.Td_1|TD_1	c0058773	0.9505
td	transcription date	TD_1	c0282229|c0011008	0.0495
c4	cervical four	C4_7	c0223131	0.2104
c4	complement component 4	C4_4|c4_1	c0009516	0.7896
tb	total bilirubin	TB_2	c0368753	0.007
tb	tuberculosis	TB_16	c0041296	0.9829
tb	tuberculin	TB_1	c0041289	0.01
tc	taxotere/cytoxan	TC_1	c0699967|c0699319	0.002
tc	throat culture	TC_1	c0848397	0.0031
tc	temperature	Tc_4	c0039476	0.3014
tc	total cholesterol	TC_3	c0543421	0.5652
tc	transverse colon	TC_1	c0227386	0.002
tc	technetium	Tc_1	c0039411	0.002
tc	thought content	TC_1	c1314756	0.002
tc	trach collar	TC_3	c1736431	0.1222
jvd	jugular venous distention	JVD_20	c0425687	1
hmd	hyaline membrane disease	HMD_13|hmd_3	c0020192	1
lfts	liver function tests	LFTs_18|LFTS_2	c0023901	1
fax	facsimile	FAX_2|fax_14|Fax_3	c0599936	1
g0	gravida 0	G0_20	c0232995	1
kcl	potassium chloride	kcl_5|KCl_4|KCL_2	c0032825	1
mg	milligram	mg_20	c0439210	1
mph	master of public health	MPH_3	c1513008	0.4058
mph	methylphenidate	mph_3|MPH_4	c0025810	0.1072
mph	miles per hour	MPH_3|mph_5	c0439495	0.487
heme	hematology/hematological	heme_4|Heme_11|HEME_5	c0018943	1
pcos	polycystic ovarian syndrome	PCOS_21	c0032460	1
fam	family	fam_3|fam._1|Fam_6	c0015576	1
neut	neutrophils	Neut_7	c0027950	1
nsgy	neurosurgery	NSGY_26|nsgy_2|Nsgy_1	c0027926	1
unitri	urinary nitrites	UNitri_6	c0580333	1
ublood	urinary blood	UBlood_6	c0018965	1
l4-l5	lumbar 4- lumbar 5	L4-L5_18	c0223537|c0223552	1
icp	intracranial pressure	ICP_19|icp_1	c0021880	1
uph	urinary power of hydrogen	UpH_7	null	1
t4	tumor	T4_4	c0027651	0.045
t4	thyroxine	T4_13|t4_1	c0040165	0.955
t2	second thoracic vertebrae	T2_5	c0459936	0.9072
t2	t2dm	T2_1	c0011860	0.0206
t2	twins two	T2_1	c0041427|c0205448	0.0722
d_w	discussed with / discuss with	d/w_18	c0557061	1
d_t	due to	d/t_34	c0678226	1
ptt-pt	partial thromboplastin time-prothrombin time	PTT-pt_5	c0033707|c0030605	1
ivfs	intravenous fluids	IVFs_27|ivfs_2	c1289919	1
na-wb	sodium-whole blood	Na-WB_9	c0853174	1
flp	fasting lipid profile	FLP_15|.FLP_1|flp_4	c0430044	1
hcg	human chorionic gonadotropin	HCG_14|hCG_4|hcg_2	c0018062	1
d_c	discharge	d/c_9	c0030685	0.932
d_c	diarrhea/constipation	d/c_2	c0011991|c0009806	0.015
d_c	discontinue	d/c_8	c1706472	0.05
d_c	dilation and curettage	d/c_1	c0010468	0.003
lvef	left ventricular ejection fraction	LVEF_19|..LVEF_1	c0428772	1
dip	diptheria	DIP_1	c0012546	0.002
dip	distal interphalangeal joint	DIP_9	c0932510	0.7749
dip	dipstick	dip_7|Dip_1	c0441090	0.2171
dip	diabetes improvement program	DIP_1	c0011849|c2986411|c2728259	0.006
depo	depo-provera	Depo_9|depo_8|DEPO_1	c0699700	0.826
depo	depo-medrol	Depo_1	c0057476	0.174
dir	directed	dir._1|dir_10	c0700157|c1947931	1
cmp	comprehensive metabolic panel	CMP_17|cmp_2	c0519825	1
mn	midnight	mn_8|Mn_1|MN_7	c0332172	0.991
mn	minnesota	MN_1	c0026183	0.002
mn	manganese	Mn_1	c0024706	0.004
mn	mononitrate	mn_1	null	0.003
tel	telephone	TEL_2|tel_5|Tel_3	c0039457	1
peds	pediatrics	peds_7|Peds_11|PEDS_1|PEds_1	c0030755	1
htn	hypertension	HTN_19|htn_1	c0020538	1
lll	left lower lobe	LLL_21	c1261077	0.9977
lll	left lower lid	LLL_1	c1289044	0.0023
tee	transesophageal echocardiogram	TEE_27|..TEE_1	c0206054	1
rop	retinopathy of prematurity	ROP_22|Rop_5	c0035344	1
bg	baby girl	BG_1	c0419385	0.006
bg	blood glucose	BG_18|bg_4	c0392201	0.994
cvp	central venous pressure	CVP_17	c0428640	1
n_a	not applicable	n/a._1|N/A_21|n/a_11	c1272460	1
pmh	past medical history	PMH_20	c0455458	1
alt	alternate	alt_8	c1523987	0.757
alt	alanine aminotransferase	ALT_6|Alt_1|alt_1	c0001899|c0057041	0.243
stds	sexually transmitted diseases	STDs_16|stds_3|stds._1	c0036916	1
ptt	partial thromboplastin time	ptt_2|PTT_20	c0030605	1
abd	abduction	Abd_1	c0231456	0.002
abd	abdominal	abd_6|abd._1	c0000726	0.1075
abd	abdomen	ABD_1|Abd_7|abd_3	c0000726	0.8905
abg	arterial blood gas	ABG_20|abg_2	c0150411	1
neg	negative	Neg_12|NEG_4|neg_11	c0205160	1
mchc	mean corpuscular hemoglobin concentration	MCHC_4	c0474535	1
neb	nebulizer	neb_14|Neb_6	c0027524	1
nec	not elsewhere specified	NEC_3	null	0.009
nec	necrotizing enterocolitis	NEC_18|nec_4	c0520459	0.989
nec	necrotizing	nec_1	c0439664	0.002
abp	arterial blood pressure	ABP_8	c1272641	1
rle	right lower extremity	RLE_24|rle_1	c0230415	1
mv	mitral valve	MV_11	c0026264	0.7783
mv	millivolt	mV_4|MV_1	c0456691	0.1041
mv	mechanical ventilation	MV_3	c0199470	0.0314
mv	multivitamin	mv_1|M.V_1	c0301532	0.0862
lle	left lower extremity	LLE_26|lle_5	c0230416	1
abx	antibiotics	abx_17|Abx_2|ABX_1	c0003232	1
kub	"kidney, ureter, bladder"	KUB_21|kub_1	c1979912	1
ggt	gamma glutamyl transpeptidase	GGT_16	c0017040	0.981
ggt	drops	ggt_4	c1321095	0.004
ggt	drip	ggt_6	c1321095	0.015
hasn	has not	hasn_7	c0332197	1
luq	left upper quadrant	LUQ_25|luq_1	c0439735	1
egfraa	estimated glomular filtration rate african american	eGFRAA_4	c2733005|c0085756	1
ugluc	urinary glucose	UGluc_5	c0017979	1
asap	"asthma, sinus and allergy program"	ASAP_6|asap_1	c3242129|c0020517|c0004096|c0497341	0.819
asap	as soon as possible	asap._1|ASAP_8|asap_4	c0439609	0.181
