abr,long_form,long_form_raw
ā,before,(a with a bar over it) before (from [[Latin]] ''ante'') 
ā,before, [[wikt:before|before]]
A,adenosine,[[adenosine]] 
A,apical, apical
a.a.,of each,of each (from [[Latin]] ''ana ana'') 
a.a.,amino acids:, [[amino acids]]:
A1C,glycosylated hemoglobin,[[glycosylated hemoglobin]] (hemoglobin A1c)
Aa.,"arteria, see Artery","''arteria'', see [[Artery]]"
AAA,abdominal aortic aneurysm,"[[aortic aneurysm#Abdominal aortic aneurysm|abdominal aortic aneurysm]] (pronounced ""triple-A"")"
AAD,antibiotic-associated diarrhea,[[antibiotic-associated diarrhea]]
AAI,acute arterial insufficiency,acute [[arterial insufficiency]]
AAPMC,antibiotic-associated pseudomembranous colitis,[[Pseudomembranous colitis|antibiotic-associated pseudomembranous colitis]]
AAT,activity as tolerated,activity as tolerated 
AAT,atypical antibody test, atypical antibody test
AAL,anterior axillary line,[[Anatomical terms of location#Surface and other landmarks in humans|anterior axillary line]]
AAOx3,"awake, alert, and oriented, times 3","[[Mental status examination#Orientation|awake, alert, and oriented, times 3 (i.e., to person, place, and time)]]"
A/B,acid-base ratio,acid-base ratio
ab,"abdomen, abdominal","[[abdomen]], [[abdomen|abdominal]] "
ab,abortion, [[abortion]]
Ab,antibody,[[antibody]]
AB,abortion,[[abortion]]
ABC,"airway, breathing, circulation","[[ABC (medicine)|airway, breathing, circulation]] "
ABC,aspiration biopsy cytology,  [[aspiration biopsy]] cytology
ABCD,"airway, breathing, circulation, disability","[[ABC (medicine)|airway, breathing, circulation, disability]] "
ABCD,"asymmetry, borders, color, diameter"," asymmetry, borders, color, diameter (features on considering ""Is it a malignant [[melanoma]]?"") "
ABCD,ABCD rating, [[ABCD rating]] (a staging system for [[prostate cancer]])
ABCs,"airway, breathing, circulation, etc. Refers to priority of needs in emergency situations. Exact spell-out and details after ""C"" vary by institution, but the ""ABCs"" theme is recurrent.","[[ABC (medicine)|airway, breathing, circulation, etc.]] Refers to priority of needs in emergency situations. Exact spell-out and details after ""C"" vary by institution, but the ""ABCs"" theme is recurrent."
ABCDs,"airway, breathing, circulation, etc. Refers to priority of needs in emergency situations. Exact spell-out and details after ""C"" vary by institution, but the ""ABCs"" theme is recurrent.","[[ABC (medicine)|airway, breathing, circulation, etc.]] Refers to priority of needs in emergency situations. Exact spell-out and details after ""C"" vary by institution, but the ""ABCs"" theme is recurrent."
ABCDEs,"airway, breathing, circulation, etc. Refers to priority of needs in emergency situations. Exact spell-out and details after ""C"" vary by institution, but the ""ABCs"" theme is recurrent.","[[ABC (medicine)|airway, breathing, circulation, etc.]] Refers to priority of needs in emergency situations. Exact spell-out and details after ""C"" vary by institution, but the ""ABCs"" theme is recurrent."
ACA,acinic cell carcinoma,[[acinic cell carcinoma]] 
ACA,Affordable Care Act, [[Patient Protection and Affordable Care Act|Affordable Care Act]]
Abd,abdomen,[[abdomen]] 
Abd,abdominal[abduction], [[abdomen|abdominal]][abduction]
ABD,army battle dressing,[[field dressing (bandage)|army battle dressing]]
ABE,acute bacterial endocarditis,acute bacterial [[endocarditis]]
ABG,arterial blood gas,[[arterial blood gas]]
ABI,acquired brain injury,[[acquired brain injury]] 
ABI,ankle brachial pressure index, [[ankle brachial pressure index]]
ABMT,autologous bone marrow transplantation,[[autologous bone marrow transplantation]]
Abn,abnormal,abnormal
ABO,Landsteiner's blood grouping system,[[Blood type|Landsteiner's blood grouping system]]
ABPA,allergic broncho-pulmonary aspergillosis,allergic broncho-pulmonary [[aspergillosis]]
ABPI,ankle brachial pressure index,[[ankle brachial pressure index]]
ABVD,"Doxorubicin, bleomycin, vinblastine, dacarbazine","[[Doxorubicin]] (adriamycin), [[bleomycin]], [[vinblastine]], [[dacarbazine]] (first-line treatment for [[Hodgkin's lymphoma]])"
ABX,antibiotics,[[antibiotic]]s
a.c.,before a meal,before a meal (from [[Latin]] ''ante cibum'')
AC,before a meal,before a meal (from [[Latin]] ''ante cibum'')
AC,abdominal circumference,abdominal circumference 
AC,assisted controlled ventilation, assisted controlled ventilation 
AC,acromioclavicular joint, [[acromioclavicular joint]]
ACB,aortocoronary bypass,[[coronary artery bypass surgery|aortocoronary bypass]]
AC&BC,"air conduction and bone conduction, as in Weber test","air conduction and bone conduction, as in [[Weber test]]"
Acc,accommodation,[[accommodation (eye)]]
ACCU,acute coronary care unit,acute [[coronary care unit]]
