SF|LF|MetaMap CUI|CSI|Ratio in CSI|UMLS CUI|UMLS SOURCE|ADAM|Ratio in ADAM|Dictionary
5-FU|2,4(1H,3H)-Pyrimidinedione, 5-fluoro-;5-Fluoro-2,4(1H, 3H)-pyrimidinedione;5-Fluoro-2,4(1H,3H)-pyrimidinedione||||C0016360|MSH;NCI;NDFRT;PDQ|||
5-FU|2,4-Dioxo-5-fluoropyrimidine||||C0016360|NCI;PDQ|||
5-FU|5 Fluorouracil;5 fluorouracil;5-Fluorouracil;5-fluoro-uracil;5-fluorouracil;5fluorouracil;5 fu;5-FU;5-Fu;5-fu;5FU;5-Fluracil;5Fluracil;5FU - Fluorouracil;FLUOROURACIL;Fluoro Uracil;Fluorouracil;fluorouracil;Fluoruracil;Fluouracil|C0016360|1|1|C0016360|CHV;CSP;LCH;LNC;MSH;MTH;MTHSPL;NCI;NDFRT;PDQ;RXNORM;SNOMEDCT;USPMG;VANDF|1|0.9959|
5-FU|5-flourouracil||||||1|0.0018|
5-FU|FU|C0016360;C1424823|||C0016360|PDQ|||
5-FU|Fluorouracil (product)||||C0016360|SNOMEDCT|||
5-FU|Fluorouracil (substance)||||C0016360|SNOMEDCT|||
5-FU|Fluorouracil [Chemical/Ingredient]||||C0016360|NDFRT|||
5-FU|chemotherapy|C0013216;C0013217;C0392920|||||1|0.0024|
6-MP|1,7-Dihydro-6H-purine-6-thione;6H-Purine-6-thione, 1,7-dihydro-||||C0000618|MSH;NCI;NDFRT;PDQ|||
6-MP|1,7-Dihydro-6H-purine-6-thione Monohydrate||||C0000618|NCI;PDQ|||
6-MP|3H-Purine-6-thiol;6 MP;6-MP;6-mp;6MP;6 Mercaptopurine;6 mercaptopurine;6-Mercaptopurine;6-mercaptopurine;Mercapto-6-purine;Purine, 6-mercapto-;6 Thiohypoxanthine;6-Thiohypoxanthine;6 Thiopurine;6 thiopurine;6-Thiopurine;6-thiopurine;6-Purinethiol;6-Thioxopurine;6MP - Mercaptopurine;MERCAPTOPURINE;Mercaptopurine;mercaptopurine;Mercapurin;Mern|C0000618|1|1|C0000618|CHV;CSP;LNC;MSH;MTH;MTHSPL;NCI;NDFRT;PDQ;RXNORM;SNOMEDCT;USPMG;VANDF|1|1|
6-MP|6-Mercaptopurine [Chemical/Ingredient]||||C0000618|NDFRT|||
